ID;Giocatore;Ruolo;Ruolo2;Squadra;Min.Gioc.;G;GF;GS;Aut;Ass;CS;GF;GS;Aut;Ass;TS;GF;GS;Aut;Ass;M2;M3;Amm;Esp;Gdv;Gdp;RigS;RigP;Rt;Rs;T;VG;VC;VTS
ALL.;JURIC I.;ALL;ALL;ATALANTA;;6;;;;;6;;;;;6;;;;;;;1;0;;;;;;;;;;
105;CARNESECCHI M.;P;P;ATALANTA;;6,54;0;1;0;0;6,5;0;1;0;0;6,5;0;1;0;0;6,5;6,5;0;0;0;0;0;0;0;0;1;5,5;5,5;5,5
215;BELLANOVA R.;D;D;ATALANTA;;5,54;0;0;0;0;6;0;0;0;0;6;0;0;0;0;5,75;5,83;0;0;0;0;0;0;0;0;1;5,5;6;6
253;DJIMSITI B.;D;D;ATALANTA;;5,54;0;0;0;0;5,5;0;0;0;0;6;0;0;0;0;5,5;5,67;0;0;0;0;0;0;0;0;1;5,5;5,5;6
282;HIEN I.;D;D;ATALANTA;;5,01;0;0;1;0;5,5;0;0;1;0;6;0;0;1;0;5,25;5,5;0;0;0;0;0;0;0;0;1;3;5,5;4
298;KOSSOUNOU O.;D;D;ATALANTA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
374;SCALVINI G.;D;D;ATALANTA;;6,02;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
554;DE ROON M.;C;C;ATALANTA;;6,02;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
559;EDERSON;C;C;ATALANTA;15;6,02;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
618;MALDINI D.;C;C;ATALANTA;;5,53;0;0;0;0;5,5;0;0;0;0;6;0;0;0;0;5,5;5,67;1;0;0;0;0;0;0;0;1;5;5;5,5
