_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS
0,,,0,VERGARA A.,C,C,NAPOLI,,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,,,100,AUDERO E.,P,P,CREMONESE,,6.04,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.5
103,MT,103.0,103,BUTEZ J.,P,P,COMO,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
104,JK,104.0,104,CAPRILE E.,P,P,CAGLIARI,,6.04,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0
105,TE,105.0,105,CARNESECCHI M.,P,P,ATALANTA,,6.54,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.5
108,JH,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,VK,110.0,110,DE GEA D.,P,P,FIORENTINA,,6.04,0.0,1.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.5,4.5
111,PP,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,112,DI GREGORIO M.,P,P,JUVENTUS,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.5
114,IÄ,114.0,114,FALCONE W.,P,P,LECCE,,6.53,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.75,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,7.0,6.5
115,IÄ,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,120,LEALI N.,P,P,GENOA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
