_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old,cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,matched_norm,match_score
0.0,,,0,VERGARA A.,C,C,NAPOLI,,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vergara a,7223.0,C,Vergara,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7223.0,C,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7223.0,C,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vergara a,87.0
100.0,,,100,AUDERO E.,P,P,CREMONESE,,6.04,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.5,audero e,761.0,P,Audero,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,P,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,P,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,audero e,85.0
103.0,MT,103.0,103,BUTEZ J.,P,P,COMO,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,butez j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,JK,104.0,104,CAPRILE E.,P,P,CAGLIARI,,6.04,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,caprile e,4360.0,P,Caprile,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4360.0,P,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4360.0,P,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caprile e,87.0
105.0,TE,105.0,105,CARNESECCHI M.,P,P,ATALANTA,,6.54,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.5,carnesecchi m,4431.0,P,Carnesecchi,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4431.0,P,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4431.0,P,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carnesecchi m,91.0
108.0,JH,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,VK,110.0,110,DE GEA D.,P,P,FIORENTINA,,6.04,0.0,1.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.5,4.5,de gea d,2521.0,P,De Gea,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.0,P,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.0,P,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de gea d,85.0
111.0,PP,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,112,DI GREGORIO M.,P,P,JUVENTUS,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.5,di gregorio m,5876.0,P,Di Gregorio,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,di gregorio m,91.0
114.0,IÄ,114.0,114,FALCONE W.,P,P,LECCE,,6.53,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.75,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,7.0,6.5,falcone w,2134.0,P,Falcone,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,falcone w,87.0
