_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old
103.0,MT,103.0,103,BUTEZ J.,P,P,COMO,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,butez j
108.0,JH,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,PP,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,IÄ,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,120,LEALI N.,P,P,GENOA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,leali n
127.0,VK,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,PP,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,,,129,MERET A.,P,P,NAPOLI,,5.53,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.0,5.5,meret a
131.0,JP,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,JP,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0,JK,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,TE,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,IÄ,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,MT,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,PP,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,TE,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,MT,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,MT,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,VK,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,JH,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0,TE,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.0,IÄ,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,IÄ,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,IÄ,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,MT,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,MT,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.0,PP,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,JP,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,JK,248.0,248,DEL PRATO E.,D,D,PARMA,,5.53,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.0,5.5,del prato e
251.0,JK,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,,,254,DOIG J.,D,D,SASSUOLO,,6.04,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.5,6.5,doig j
256.0,TE,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,,,267,GABRIEL T.,D,D,LECCE,,6.53,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,6.5,gabriel t
