giornata,manager,team_total,player_num,role,name,vote,sub_used,indicators,adjustments
1,Ekholm,68.5,1,P,Musso,5.5,False,,-2
1,Ekholm,68.5,2,D,Romagnoli,5.0,False,,
1,Ekholm,68.5,3,D,Lovato,6.5,False,,
1,Ekholm,68.5,4,D,Tomori,6.5,False,,
1,Ekholm,68.5,5,C,Weah Tim.,5.5,False,,
1,Ekholm,68.5,6,C,Loftus-Cheek,7.5,False,A,
1,Ekholm,68.5,7,C,Pasalic,,False,,
1,Ekholm,68.5,8,C,Felipe Anderson,5.0,False,,
1,Ekholm,68.5,9,A,Belotti,6.0,False,,
1,Ekholm,68.5,10,A,Giroud,9.0,False,GG,
1,Ekholm,68.5,11,A,Almqvist,6.5,False,,
1,Ekholm,68.5,12,A,Arnautovic,,False,,
1,Ekholm,68.5,13,C,Bove,,False,,
1,Ekholm,68.5,14,C,Fagioli,5.5,True,,
1,Ekholm,68.5,15,D,Kristensen Ra.,5.0,False,,
1,Ekholm,68.5,16,C,Lovric,6.0,False,,
1,Ekholm,68.5,17,D,Casale,4.5,False,,
1,Ekholm,68.5,18,D,Ndicka,,False,,
1,Ekholm,68.5,19,D,Gendrey,6.0,False,,
1,Ekholm,68.5,20,C,Iling-Junior,7.0,False,S,
1,Ekholm,68.5,21,A,Ake,,False,,
1,Ekholm,68.5,22,C,Bertini,,False,,
1,Ekholm,68.5,23,P,Carnesecchi,,False,,
1,Harma,70.0,1,P,Consigli,6.5,False,,-2
1,Harma,70.0,2,D,Bakker,,False,,
1,Harma,70.0,3,D,Bijol,6.0,False,,
1,Harma,70.0,4,D,Vasquez Johan,6.5,False,,
1,Harma,70.0,5,D,Gallo An.,5.0,False,,
1,Harma,70.0,6,C,Barella,6.0,False,,
1,Harma,70.0,7,C,Ciurria,7.5,False,A,
1,Harma,70.0,8,C,Ricci Samuele,6.5,False,S,
1,Harma,70.0,9,A,Vlahovic,8.0,False,G,
1,Harma,70.0,10,A,Zaccagni,5.5,False,,
1,Harma,70.0,11,A,Kvaratskhelia,7.5,False,S,
1,Harma,70.0,12,C,Vlasic,5.0,True,,
1,Harma,70.0,13,A,Banda,8.0,False,SS,
1,Harma,70.0,14,A,Caputo,5.0,False,,
1,Harma,70.0,15,C,Deiola,,False,,
1,Harma,70.0,16,C,Maleh,,False,,
1,Harma,70.0,17,C,Barak,,False,,
1,Harma,70.0,18,C,Akpa Akpro,,False,,
1,Harma,70.0,19,C,Fazzini,5.5,False,,
1,Harma,70.0,20,D,Luperto,5.5,False,,
1,Harma,70.0,21,D,Baschirotto,6.0,False,,
1,Harma,70.0,22,D,Bellanova,5.5,False,,
1,Harma,70.0,23,D,Vina,5.0,False,,
1,Harma,70.0,24,D,De Silvestri,,False,,
1,Keränen,63.0,1,P,Di Gregorio,7.0,False,,
1,Keränen,63.0,2,D,Zappacosta,5.0,False,,
1,Keränen,63.0,3,D,Parisi Fa.,5.5,False,,
1,Keränen,63.0,4,D,Ruggeri,5.0,False,,
1,Keränen,63.0,5,D,Dimarco,7.0,False,S,
1,Keränen,63.0,6,C,Oristanio,4.5,False,,
1,Keränen,63.0,7,C,Locatelli M.,5.5,False,,
1,Keränen,63.0,8,C,Chiesa F.,5.5,False,,
1,Keränen,63.0,9,A,Sottil R.,5.0,False,,
1,Keränen,63.0,10,A,Immobile,5.5,False,,
1,Keränen,63.0,11,A,Retegui,7.5,False,G,
1,Keränen,63.0,12,P,Sorrentino,,False,,
1,Keränen,63.0,13,A,Isaksen,5.5,False,,
1,Keränen,63.0,14,C,Rovella,,False,,
1,Keränen,63.0,15,D,Zanoli,,False,,
1,Keränen,63.0,16,D,Augello,5.5,False,,
1,Keränen,63.0,17,D,Spinazzola,5.5,False,,
1,Keränen,63.0,18,C,Moro Ni.,6.0,False,,
1,Keränen,63.0,19,A,Pinamonti,4.5,False,,
1,Keränen,63.0,20,C,Gonzalez Joan,5.5,False,,
1,Keränen,63.0,21,C,Ranocchia Fi.,,False,,
1,Keränen,63.0,22,D,Pirola,5.5,False,,
1,Keränen,63.0,23,D,Terracciano Fi.,6.5,False,,
1,Keränen,63.0,24,C,Brescianini,6.0,False,,
1,Keränen,63.0,25,C,Nicolussi Caviglia,,False,,
1,Kouvonkorpi,70.5,1,P,Maignan,6.0,False,,-1
