_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS
108,JH,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PP,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,IÄ,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,VK,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PP,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,JP,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,JP,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,JK,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,TE,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,IÄ,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,MT,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PP,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,TE,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,MT,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,MT,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,VK,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,JH,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,TE,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,IÄ,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,IÄ,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,IÄ,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,MT,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,MT,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PP,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,JP,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,JK,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,TE,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,MT,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,TE,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,JK,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,JP,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,JH,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,MT,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,TE,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,TE,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,PP,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,MT,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,JK,406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,JK,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,VK,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,MT,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,VK,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,IÄ,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
