cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,_name_norm_new,matched_norm,match_score
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0,4870,C,5.5,0,0,0,0,0,0,0,0,0,4870,C,6,0,0,0,0,0,0,0,0,0,adopo,adopo m,83
6001,A,Banda,5.5,0,0,0,0,0,0,1,0,0,6001,A,5,0,0,0,0,0,0,1,0,0,6001,A,5.5,0,0,0,0,0,0,1,0,0,banda,banda l,83
5992,C,Bondo,6,0,0,0,0,0,0,1,0,0,5992,C,6.5,0,0,0,0,0,0,1,0,0,5992,C,6,0,0,0,0,0,0,1,0,0,bondo,bondo w,83
6966,P,Butez,6,0,0,0,0,0,0,0,0,0,6966,P,6,0,0,0,0,0,0,0,0,0,6966,P,6,0,0,0,0,0,0,0,0,0,butez,butez j,83
6985,D,Candè,6*,0,0,0,0,0,0,0,0,0,6985,D,6*,0,0,0,0,0,0,0,0,0,6985,D,6*,0,0,0,0,0,0,0,0,0,cande,cande f,83
4416,ALL,Conte,7,0,0,0,0,0,0,0,0,0,4416,ALL,7,0,0,0,0,0,0,0,0,0,4416,ALL,7,0,0,0,0,0,0,0,0,0,conte,conte a,83
5544,A,David,7,1,0,0,0,0,0,0,0,0,5544,A,6.5,1,0,0,0,0,0,0,0,0,5544,A,7,1,0,0,0,0,0,0,0,0,david,david j,83
6664,D,Delprato,6,0,0,0,0,0,0,0,0,0,6664,D,6,0,0,0,0,0,0,0,0,0,6664,D,6,0,0,0,0,0,0,0,0,0,delprato,del prato e,84
5672,A,Dia,5.5,0,0,0,0,0,0,0,0,0,5672,A,6,0,0,0,0,0,0,0,0,0,5672,A,5.5,0,0,0,0,0,0,0,0,0,dia,dia b,75
5851,D,Doig,6,0,0,0,0,0,0,0,0,0,5851,D,6,0,0,0,0,0,0,0,0,0,5851,D,6,0,0,0,0,0,0,0,0,0,doig,doig j,80
5792,C,Ederson D.S.,5.5,0,0,0,0,0,0,0,0,0,5792,C,6,0,0,0,0,0,0,0,0,0,5792,C,6,0,0,0,0,0,0,0,0,0,ederson d s,ederson,77
4502,D,Gallo,6.5,0,0,0,0,0,0,0,0,0,4502,D,6,0,0,0,0,0,0,0,0,0,4502,D,6,0,0,0,0,0,0,0,0,0,gallo,gallo a,83
5831,D,Gatti,6,0,0,0,0,0,0,1,0,0,5831,D,6,0,0,0,0,0,0,1,0,0,5831,D,6,0,0,0,0,0,0,1,0,0,gatti,gatti f,83
4930,C,Ghion,6*,0,0,0,0,0,0,0,0,0,4930,C,6*,0,0,0,0,0,0,0,0,0,4930,C,6*,0,0,0,0,0,0,0,0,0,ghion,ghion a,83
5833,D,Gila,5.5,0,0,0,0,0,0,0,0,0,5833,D,5,0,0,0,0,0,0,0,0,0,5833,D,5,0,0,0,0,0,0,0,0,0,gila,gila m,80
7008,A,Gimenez,5,0,0,0,0,0,0,0,0,0,7008,A,5,0,0,0,0,0,0,0,0,0,7008,A,5,0,0,0,0,0,0,0,0,0,gimenez,jimenez a,75
