_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS
0,,,0,VERGARA A.,C,C,NAPOLI,,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,,,100,AUDERO E.,P,P,CREMONESE,,6.04,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.5
112,,,112,DI GREGORIO M.,P,P,JUVENTUS,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.5
120,,,120,LEALI N.,P,P,GENOA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
123,,,123,MAIGNAN M.,P,P,MILAN,,6.04,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0
129,,,129,MERET A.,P,P,NAPOLI,,5.53,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.75,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.0,5.5
142,,,142,PROVEDEL I.,P,P,LAZIO,,5.04,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.5,4.0
155,,,155,SKORUPSKI L.,P,P,BOLOGNA,,6.53,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.25,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,5.5
160,,,160,SVILAR M.,P,P,ROMA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
163,,,163,TURATI S.,P,P,SASSUOLO,,5.04,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,5.25,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.5,3.5
